hive,path,value,type,data
"HKLM","Software\Classes\batfile\shell\runasuser","SuppressionPolicy","DWord","4096"
"HKLM","Software\Classes\cmdfile\shell\runasuser","SuppressionPolicy","DWord","4096"
"HKLM","Software\Classes\exefile\shell\runasuser","SuppressionPolicy","DWord","4096"
"HKLM","Software\Classes\mscfile\shell\runasuser","SuppressionPolicy","DWord","4096"
"HKLM","SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon","AutoAdminLogon","String","0"
"HKLM","SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon","ScreenSaverGracePeriod","String","5"
"HKLM","SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","LocalAccountTokenFilterPolicy","DWord","0"
"HKLM","Software\Policies\Microsoft Services\AdmPwd","AdmPwdEnabled","DWord","1"
"HKLM","SOFTWARE\Policies\Microsoft\AppHVSI","FileTrustCriteria","DWord","0"
"HKLM","SOFTWARE\Policies\Microsoft\AppHVSI\FileTrustOrigin","FileTrustOriginMarkOfTheWeb","DWord","1"
"HKLM","SOFTWARE\Policies\Microsoft\AppHVSI\FileTrustOrigin","FileTrustOriginNetworkShare","DWord","1"
"HKLM","SOFTWARE\Policies\Microsoft\AppHVSI\FileTrustOrigin","FileTrustOriginRemovableMedia","DWord","1"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall","PolicyVersion","DWord",""
"HKLM","SYSTEM\CurrentControlSet\Control\Lsa","RunAsPPL","DWord","1"
"HKLM","SYSTEM\CurrentControlSet\Control\SecurityProviders\WDigest","UseLogonCredential","DWord","0"
"HKLM","SYSTEM\CurrentControlSet\Control\Session Manager","SafeDllSearchMode","DWord","1"
"HKLM","SYSTEM\CurrentControlSet\Control\Session Manager\kernel","DisableExceptionChainValidation","DWord","0"
"HKLM","SYSTEM\CurrentControlSet\Services\Eventlog\Security","WarningLevel","DWord","90"
"HKLM","SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters","SMB1","DWord","0"
"HKLM","SYSTEM\CurrentControlSet\Services\MrxSmb10","Start","DWord","4"
"HKLM","SYSTEM\CurrentControlSet\Services\Netbt\Parameters","NodeType","DWord","2"
"HKLM","SYSTEM\CurrentControlSet\Services\Netbt\Parameters","NoNameReleaseOnDemand","DWord","1"
"HKLM","SYSTEM\CurrentControlSet\Services\Tcpip\Parameters","DisableIPSourceRouting","DWord","2"
"HKLM","SYSTEM\CurrentControlSet\Services\Tcpip\Parameters","EnableDeadGWDetect","DWord","0"
"HKLM","SYSTEM\CurrentControlSet\Services\Tcpip\Parameters","EnableICMPRedirect","DWord","0"
"HKLM","SYSTEM\CurrentControlSet\Services\Tcpip6\Parameters","DisableIPSourceRouting","DWord","2"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Dll","EnforcementMode","DWord","1"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Dll\3737732c-99b7-41d4-9037-9cddfb0de0d0","Value","String","<FilePathRule Id="3737732c-99b7-41d4-9037-9cddfb0de0d0" Name="(Default Rule) All DLLs located in the Program Files folder" Description="Allows members of the Everyone group to load DLLs that are located in the Program Files folder." UserOrGroupSid="S-1-1-0" Action="Allow"><Conditions><FilePathCondition Path="%PROGRAMFILES%\*"/></Conditions></FilePathRule>\r\n"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Dll\b322869f-7431-488c-ab0d-e1c49510283f","Value","String","<FilePathRule Id="b322869f-7431-488c-ab0d-e1c49510283f" Name="%OSDRIVE%\ProgramData\Microsoft\Windows Defender\Platform\*" Description="" UserOrGroupSid="S-1-1-0" Action="Allow"><Conditions><FilePathCondition Path="%OSDRIVE%\ProgramData\Microsoft\Windows Defender\Platform\*"/></Conditions></FilePathRule>\r\n"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Dll","AllowWindows","DWord","0"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Dll\e0e1f454-d63e-41cb-85d5-3c11a9b9889f","Value","String","<FilePathRule Id="e0e1f454-d63e-41cb-85d5-3c11a9b9889f" Name="Microsoft Windows DLLs - with exceptions for writeable locations" Description="Allows members of the Everyone group to load DLLs located in the Windows folder." UserOrGroupSid="S-1-1-0" Action="Allow"><Conditions><FilePathCondition Path="%WINDIR%\*"/></Conditions><Exceptions><FilePathCondition Path="%SYSTEM32%\AppLocker\*"/><FilePathCondition Path="%SYSTEM32%\com\dmp\*"/><FilePathCondition Path="%SYSTEM32%\FxsTmp\*"/><FilePathCondition Path="%SYSTEM32%\Microsoft\Crypto\RSA\MachineKeys\*"/><FilePathCondition Path="%SYSTEM32%\Spool\drivers\color\*"/><FilePathCondition Path="%SYSTEM32%\Spool\PRINTERS\*"/><FilePathCondition Path="%SYSTEM32%\Spool\SERVERS\*"/><FilePathCondition Path="%SYSTEM32%\Tasks\*"/><FilePathCondition Path="%WINDIR%\registration\crmlog\*"/><FilePathCondition Path="%WINDIR%\servicing\Packages\*"/><FilePathCondition Path="%WINDIR%\servicing\Sessions\*"/><FilePathCondition Path="%WINDIR%\Tasks\*"/><FilePathCondition Path="%WINDIR%\temp\*"/><FilePathCondition Path="%WINDIR%\Tracing\*"/></Exceptions></FilePathRule>\r\n"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Dll\fe64f59f-6fca-45e5-a731-0f6715327c38","Value","String","<FilePathRule Id="fe64f59f-6fca-45e5-a731-0f6715327c38" Name="(Default Rule) All DLLs" Description="Allows members of the local Administrators group to load all DLLs." UserOrGroupSid="S-1-5-32-544" Action="Allow"><Conditions><FilePathCondition Path="*"/></Conditions></FilePathRule>\r\n"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Exe","EnforcementMode","DWord","1"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Exe\36589a7e-4ac6-4bf0-aab9-1a87a469c7d2","Value","String","<FilePathRule Id="36589a7e-4ac6-4bf0-aab9-1a87a469c7d2" Name="All files located in the Program Files folder" Description="Allows members of the Everyone group to run applications that are located in the Program Files folder." UserOrGroupSid="S-1-1-0" Action="Allow"><Conditions><FilePathCondition Path="%PROGRAMFILES%\*"/></Conditions><Exceptions><FilePathCondition Path="%PROGRAMFILES%\Windows Kits\*\Debuggers\*"/></Exceptions></FilePathRule>\r\n"
